dataset,seed,model,true_class,predicted_class,count
ITIncident,7,XGBoost,Low,Medium,133
ITIncident,7,XGBoost,Medium,High,9
ITIncident,7,XGBoost,Medium,Low,10
ITIncident,7,XGBoost,Medium,Medium,4674
ITIncident,7,RandomForest,High,High,20
ITIncident,7,RandomForest,High,Low,2
ITIncident,7,RandomForest,High,Medium,114
ITIncident,7,RandomForest,Low,High,1
ITIncident,7,RandomForest,Low,Low,43
ITIncident,7,RandomForest,Low,Medium,111
ITIncident,7,RandomForest,Medium,High,35
ITIncident,7,RandomForest,Medium,Low,321
ITIncident,7,RandomForest,Medium,Medium,4337
ITIncident,7,BalancedRF,High,High,80
ITIncident,7,BalancedRF,High,Low,17
ITIncident,7,BalancedRF,High,Medium,39
ITIncident,7,BalancedRF,Low,High,13
ITIncident,7,BalancedRF,Low,Low,84
ITIncident,7,BalancedRF,Low,Medium,58
ITIncident,7,BalancedRF,Medium,High,621
ITIncident,7,BalancedRF,Medium,Low,917
ITIncident,7,BalancedRF,Medium,Medium,3155
ITIncident,7,MLP,High,High,0
ITIncident,7,MLP,High,Low,0
ITIncident,7,MLP,High,Medium,136
ITIncident,7,MLP,Low,High,0
ITIncident,7,MLP,Low,Low,0
ITIncident,7,MLP,Low,Medium,155
ITIncident,7,MLP,Medium,High,0
ITIncident,7,MLP,Medium,Low,0
ITIncident,7,MLP,Medium,Medium,4693
ITIncident,7,LogReg,High,High,60
ITIncident,7,LogReg,High,Low,36
ITIncident,7,LogReg,High,Medium,40
ITIncident,7,LogReg,Low,High,24
ITIncident,7,LogReg,Low,Low,76
ITIncident,7,LogReg,Low,Medium,55
ITIncident,7,LogReg,Medium,High,1240
ITIncident,7,LogReg,Medium,Low,1431
ITIncident,7,LogReg,Medium,Medium,2022
ITIncident,7,NaiveBayes,High,High,0
ITIncident,7,NaiveBayes,High,Low,0
ITIncident,7,NaiveBayes,High,Medium,136
ITIncident,7,NaiveBayes,Low,High,0
ITIncident,7,NaiveBayes,Low,Low,0
ITIncident,7,NaiveBayes,Low,Medium,155
ITIncident,7,NaiveBayes,Medium,High,0
ITIncident,7,NaiveBayes,Medium,Low,0
ITIncident,7,NaiveBayes,Medium,Medium,4693
ITIncident,13,KATS,High,High,128
ITIncident,13,KATS,High,Low,2
ITIncident,13,KATS,High,Medium,6
ITIncident,13,KATS,Low,High,72
ITIncident,13,KATS,Low,Low,55
ITIncident,13,KATS,Low,Medium,28
ITIncident,13,KATS,Medium,High,2872
ITIncident,13,KATS,Medium,Low,591
ITIncident,13,KATS,Medium,Medium,1230
ITIncident,13,LightGBM,High,High,105
ITIncident,13,LightGBM,High,Low,5
ITIncident,13,LightGBM,High,Medium,26
ITIncident,13,LightGBM,Low,High,25
ITIncident,13,LightGBM,Low,Low,66
ITIncident,13,LightGBM,Low,Medium,64
ITIncident,13,LightGBM,Medium,High,1059
ITIncident,13,LightGBM,Medium,Low,668
ITIncident,13,LightGBM,Medium,Medium,2966
ITIncident,13,XGBoost,High,High,13
ITIncident,13,XGBoost,High,Low,0
ITIncident,13,XGBoost,High,Medium,123
ITIncident,13,XGBoost,Low,High,0
ITIncident,13,XGBoost,Low,Low,18
ITIncident,13,XGBoost,Low,Medium,137
ITIncident,13,XGBoost,Medium,High,6
ITIncident,13,XGBoost,Medium,Low,5
ITIncident,13,XGBoost,Medium,Medium,4682
ITIncident,13,RandomForest,High,High,19
ITIncident,13,RandomForest,High,Low,0
ITIncident,13,RandomForest,High,Medium,117
ITIncident,13,RandomForest,Low,High,0
ITIncident,13,RandomForest,Low,Low,42
ITIncident,13,RandomForest,Low,Medium,113
ITIncident,13,RandomForest,Medium,High,42
ITIncident,13,RandomForest,Medium,Low,304
ITIncident,13,RandomForest,Medium,Medium,4347
ITIncident,13,BalancedRF,High,High,88
ITIncident,13,BalancedRF,High,Low,10
ITIncident,13,BalancedRF,High,Medium,38
ITIncident,13,BalancedRF,Low,High,15
ITIncident,13,BalancedRF,Low,Low,74
ITIncident,13,BalancedRF,Low,Medium,66
ITIncident,13,BalancedRF,Medium,High,713
ITIncident,13,BalancedRF,Medium,Low,812
ITIncident,13,BalancedRF,Medium,Medium,3168
ITIncident,13,MLP,High,High,0
ITIncident,13,MLP,High,Low,0
